System solution:
x[0] = 96698.588801
x[1] = -13401.575887
x[2] = -34541.726375
x[3] = 157088.931903
x[4] = 101453.204911
x[5] = 119303.409086
x[6] = 193082.070306
x[7] = 109913.283592
x[8] = -12587.136094
x[9] = 11065.275827
x[10] = 116327.000719
x[11] = -36268.091067
x[12] = 106729.763448
x[13] = 17737.787968
x[14] = 76562.093060
x[15] = -7385.444285
x[16] = 106321.418156
x[17] = 99758.984859
x[18] = -14059.494382
x[19] = 41993.032242
x[20] = 8393.458735
x[21] = 166407.296599
x[22] = 82269.505342
x[23] = -24753.480191
x[24] = -7676.746026
x[25] = 21703.578485
x[26] = 149606.548298
x[27] = 62688.531939
x[28] = 39845.443971
x[29] = 86431.137017
x[30] = 141496.511135
x[31] = 174292.445797
x[32] = 114732.661062
x[33] = 149091.494910
x[34] = 131418.881964
x[35] = 19759.311993
x[36] = 67309.858885
x[37] = 126645.216102
x[38] = 166539.995862
x[39] = 93237.359580
x[40] = 179357.330855
x[41] = 81404.241451
x[42] = 98087.157235
x[43] = 85944.257433
x[44] = 139270.485130
x[45] = -22459.157527
x[46] = 116144.023636
x[47] = 48379.057808
x[48] = 116447.173975
x[49] = 143638.504469
x[50] = 129544.360588
x[51] = 164883.002269
x[52] = 111108.607242
x[53] = 14493.628118
x[54] = 180287.199215
x[55] = 143522.565229
x[56] = 76052.540594
x[57] = 131305.880669
x[58] = 9257.932033
x[59] = 153446.709904
x[60] = 18601.257749
x[61] = 190855.880524
x[62] = 131331.604810
x[63] = 175645.281951
x[64] = 140468.852872
x[65] = 62839.279538
x[66] = -4037.815380
x[67] = 9336.268573
x[68] = -8776.823089
x[69] = -38565.984747
x[70] = 140688.460452
x[71] = -29614.894729
x[72] = 84938.871081
x[73] = 41662.932243
x[74] = 97094.059872
x[75] = 28383.019894
x[76] = 57442.403770
x[77] = 18172.203696
x[78] = 114260.180676
x[79] = -20217.914661
x[80] = -37031.478096
x[81] = 45958.466028
x[82] = 185400.527635
x[83] = 112488.055932
x[84] = 100006.899835
x[85] = 164737.046324
x[86] = 59109.186665
x[87] = -22233.233074
x[88] = 96753.341970
x[89] = 108153.507908
x[90] = 170200.252846
x[91] = 158244.503109
x[92] = 101514.550681
x[93] = 102646.554327
x[94] = 135087.474172
x[95] = 42082.981693
x[96] = -28713.796916
x[97] = 169251.953223
x[98] = 90576.190914
x[99] = -2025.361455
x[100] = 168718.490544
x[101] = 34307.441337
x[102] = 9436.918903
x[103] = 55320.023016
x[104] = 117336.642905
x[105] = 146856.640385
x[106] = 122451.351413
x[107] = -24374.082590
x[108] = -35246.595212
x[109] = 36033.238745
x[110] = -3311.161888
x[111] = -31590.428010
x[112] = 123020.202985
x[113] = -18152.238382
x[114] = 121488.336166
x[115] = 22079.816131
x[116] = 188278.198400
x[117] = -19490.163550
x[118] = 39188.579157
x[119] = 87172.843203
x[120] = 129638.806307
x[121] = 11762.791544
x[122] = 44598.476960
x[123] = 30988.693820
x[124] = 155773.120193
x[125] = -20258.771847
x[126] = 112951.746077
x[127] = 164104.070287
x[128] = 187760.971652
x[129] = 3748.801196
x[130] = -34292.442691
x[131] = 158948.005658
x[132] = 80717.455847
x[133] = 11997.708579
x[134] = 15120.505784
x[135] = -3208.926695
x[136] = -38119.659875
x[137] = 177470.919253
x[138] = 13818.738551
x[139] = -31318.471748
x[140] = 17623.252991
x[141] = 49153.440744
x[142] = -25170.770728
x[143] = 179541.990744
x[144] = 68649.034555
x[145] = 135283.673889
x[146] = 2866.548690
x[147] = 56798.819641
x[148] = 158810.155538
x[149] = 85395.950102
x[150] = 185068.348603
x[151] = 89623.176735
x[152] = 134717.402966
x[153] = 32851.527184
x[154] = 158559.579999
x[155] = 92161.691107
x[156] = 53702.770869
x[157] = 75278.623340
x[158] = 57337.046615
x[159] = 41655.088643
x[160] = 117149.283756
x[161] = 62540.918434
x[162] = 2643.633571
x[163] = -2416.401318
x[164] = 114048.651189
x[165] = 58164.307676
x[166] = 33627.803212
x[167] = 116044.366302
x[168] = 37330.405025
x[169] = 84594.274525
x[170] = 122501.492017
x[171] = 95185.815324
x[172] = 173801.414201
x[173] = 137690.971392
x[174] = 76554.654658
x[175] = 45144.729761
x[176] = 77867.819203
x[177] = 117942.932412
x[178] = 142451.299484
x[179] = 32485.488924
x[180] = 1940.916600
x[181] = 130021.652582
x[182] = 162396.266503
x[183] = 178792.211962
x[184] = -35914.515842
x[185] = 122280.732467
x[186] = 73954.231556
x[187] = 55673.899598
x[188] = -3711.148873
x[189] = 169899.917312
x[190] = 138033.376788
x[191] = 154687.599678
x[192] = 33794.723216
x[193] = 181107.521456
x[194] = 193535.620067
x[195] = 186685.007868
x[196] = 41209.598743
x[197] = 28246.967098
x[198] = 105071.739013
x[199] = 119910.130426
x[200] = 154581.776468
x[201] = 30875.763498
x[202] = 15968.048942
x[203] = 130021.309533
x[204] = -31099.494605
x[205] = 130748.986542
x[206] = -22121.548854
x[207] = 85046.685056
x[208] = 53461.577424
x[209] = 161199.450658
x[210] = 161636.275473
x[211] = 95194.652081
x[212] = 93833.418367
x[213] = 124872.726333
x[214] = 73424.029736
x[215] = 95670.437769
x[216] = 48021.198932
x[217] = 184539.418758
x[218] = 195024.436566
x[219] = 86953.776261
x[220] = 157238.828398
x[221] = 134792.281430
x[222] = 43480.593073
x[223] = -8934.751928
x[224] = 115422.757378
x[225] = 37980.416155
x[226] = -20991.247827
x[227] = 195018.225720
x[228] = 107157.045831
x[229] = 124193.985751
x[230] = 115552.171363
x[231] = 64895.586629
x[232] = 196312.219188
x[233] = 171116.225224
